entity_id,entity_name,killable,score
0,area_effect_cloud,0,0
1,armor_stand,0,0
2,arrow,0,0
3,axolotl,0,0
4,bat,0,0
5,bee,0,0
6,blaze,0,0
7,boat,0,0
8,cat,0,0
9,cave_spider,0,0
10,chicken,0,0
11,cod,0,0
12,cow,0,0
13,creeper,0,0
14,dolphin,0,0
15,donkey,0,0
16,dragon_fireball,0,0
17,drowned,0,0
18,elder_guardian,0,0
19,end_crystal,0,0
20,ender_dragon,0,0
21,enderman,0,0
22,endermite,0,0
23,evoker,0,0
24,evoker_fangs,0,0
25,experience_orb,0,0
26,eye_of_ender,0,0
27,falling_block,0,0
28,firework_rocket,0,0
29,fox,0,0
30,ghast,0,0
31,giant,0,0
32,glow_item_frame,0,0
33,glow_squid,0,0
34,goat,0,0
35,guardian,0,0
36,hoglin,0,0
37,horse,0,0
38,husk,0,0
39,illusioner,0,0
40,iron_golem,0,0
41,item,0,0
42,item_frame,0,0
43,fireball,0,0
44,leash_knot,0,0
45,lightning_bolt,0,0
46,llama,0,0
47,llama_spit,0,0
48,magma_cube,0,0
49,marker,0,0
50,minecart,0,0
51,chest_minecart,0,0
52,command_block_minecart,0,0
53,furnace_minecart,0,0
54,hopper_minecart,0,0
55,spawner_minecart,0,0
56,tnt_minecart,0,0
57,mule,0,0
58,mooshroom,0,0
59,ocelot,0,0
60,painting,0,0
61,panda,0,0
62,parrot,0,0
63,phantom,0,0
64,pig,0,0
65,piglin,0,0
66,piglin_brute,0,0
67,pillager,0,0
68,polar_bear,0,0
69,tnt,0,0
70,pufferfish,0,0
71,rabbit,0,0
72,ravager,0,0
73,salmon,0,0
74,sheep,0,0
75,shulker,0,0
76,shulker_bullet,0,0
77,silverfish,0,0
78,skeleton,0,0
79,skeleton_horse,0,0
80,slime,0,0
81,small_fireball,0,0
82,snow_golem,0,0
83,snowball,0,0
84,spectral_arrow,0,0
85,spider,0,0
86,squid,0,0
87,stray,0,0
88,strider,0,0
89,egg,0,0
90,ender_pearl,0,0
91,experience_bottle,0,0
92,potion,0,0
93,trident,0,0
94,trader_llama,0,0
95,tropical_fish,0,0
96,turtle,0,0
97,vex,0,0
98,villager,0,0
99,vindicator,0,0
100,wandering_trader,0,0
101,witch,0,0
102,wither,0,0
103,wither_skeleton,0,0
104,wither_skull,0,0
105,wolf,0,0
106,zoglin,0,0
107,zombie,0,0
108,zombie_horse,0,0
109,zombie_villager,0,0
110,zombified_piglin,0,0
111,player,0,0
112,fishing_bobber,0,0
